dataset,server_or_source,method_or_run,rows,latest_epoch,latest_map5095,latest_map50,best_map5095,best_epoch,late5_map5095,late10_map5095,late20_map5095,late50_map5095,relative_path
OGSOD,local_copy_4090_or_plot,ProbeA,314,314.0,0.46085,0.72607,0.46085,314.0,0.45998,0.45876700000000004,0.4562265,0.4495304,evidence/local/ogsod_yoloinit_curves_20260624/data/4090/probeA_e800.csv
OGSOD,local,baseline,800,800.0,0.62737,0.92787,0.63018,723.0,0.62715,0.627043,0.6272800000000001,0.627243,evidence/local/ogsod_yoloinit_curves_20260624/data/baselines/rgb_yolo11n_formal_nomosaic_e800_s0.csv
OGSOD,local,baseline,800,800.0,0.55127,0.8234,0.55654,734.0,0.551508,0.551624,0.5516755,0.5527758,evidence/local/ogsod_yoloinit_curves_20260624/data/baselines/sar_yolo11n_formal_nomosaic_e800_s0.csv
DroneVehicle/sub2k_or_curves,ladd3090-zw1,dynamic_corewarm60_yoloinit,65,65.0,0.3234,0.56938,0.3234,65.0,0.32029399999999997,0.315116,0.3040275,0.2509434,evidence/remote_3090/tar_snapshot/runs_public/ogsod/hbb/yoloinit_dynamic_sweep_20260624/dynamic_corewarm60_yoloinit/yolo11n/seed0/ogsod_yoloinit_dynamic_corewarm60_yoloinit_yolo11n_e800_b64_img256_s0_20260624_210845_gpu0/results.csv
DroneVehicle/sub2k_or_curves,ladd3090-zw1,dynamic_kd0p25_yoloinit,66,66.0,0.32555,0.56659,0.32555,66.0,0.32175600000000004,0.317501,0.3064505,0.25358959999999997,evidence/remote_3090/tar_snapshot/runs_public/ogsod/hbb/yoloinit_dynamic_sweep_20260624/dynamic_kd0p25_yoloinit/yolo11n/seed0/ogsod_yoloinit_dynamic_kd0p25_yoloinit_yolo11n_e800_b64_img256_s0_20260624_210845_gpu1/results.csv
DroneVehicle/sub2k_or_curves,ladd3090-zw1,dynamic_kd2p0_yoloinit,64,64.0,0.31857,0.56117,0.31857,64.0,0.31459000000000004,0.30905299999999997,0.29828350000000003,0.2441108,evidence/remote_3090/tar_snapshot/runs_public/ogsod/hbb/yoloinit_dynamic_sweep_20260624/dynamic_kd2p0_yoloinit/yolo11n/seed0/ogsod_yoloinit_dynamic_kd2p0_yoloinit_yolo11n_e800_b64_img256_s0_20260624_210845_gpu0/results.csv
DroneVehicle/sub2k_or_curves,ladd3090-zw1,dynamic_reach_rawinput_yoloinit,67,67.0,0.33151,0.57338,0.33151,67.0,0.32908400000000004,0.324681,0.3133705,0.2608474,evidence/remote_3090/tar_snapshot/runs_public/ogsod/hbb/yoloinit_dynamic_sweep_20260624/dynamic_reach_rawinput_yoloinit/yolo11n/seed0/ogsod_yoloinit_dynamic_reach_rawinput_yoloinit_yolo11n_e800_b64_img256_s0_20260624_210845_gpu1/results.csv
DroneVehicle/sub2k_or_curves,ladd3090-zw1,detonly/control,268,268.0,0.43677,0.69313,0.43677,268.0,0.43555599999999994,0.43433,0.43207699999999993,0.42520339999999995,evidence/remote_3090/tar_snapshot/runs_public/ogsod/hbb/yoloinit_mainline_search_20260624/detonly_control_yoloinit/yolo11n/seed0/ogsod_yoloinit_detonly_control_yoloinit_yolo11n_e800_b64_img256_s0_20260624_161654_gpu0/results.csv
DroneVehicle/sub2k_or_curves,ladd3090-zw1,dynamic_plain_yoloinit,96,96.0,0.35186,0.59523,0.35186,96.0,0.350372,0.34870900000000005,0.3448025,0.32683979999999996,evidence/remote_3090/tar_snapshot/runs_public/ogsod/hbb/yoloinit_mainline_search_20260624/dynamic_plain_yoloinit/yolo11n/seed0/ogsod_yoloinit_dynamic_plain_yoloinit_yolo11n_e800_b64_img256_s0_20260624_201305_gpu1/results.csv
DroneVehicle/sub2k_or_curves,ladd3090-zw1,dynamic_singleproj_yoloinit,214,214.0,0.41845,0.67227,0.41845,214.0,0.417682,0.41619599999999995,0.41322849999999994,0.404201,evidence/remote_3090/tar_snapshot/runs_public/ogsod/hbb/yoloinit_mainline_search_20260624/dynamic_singleproj_yoloinit/yolo11n/seed0/ogsod_yoloinit_dynamic_singleproj_yoloinit_yolo11n_e800_b64_img256_s0_20260624_1605_gpu0/results.csv
DroneVehicle/sub2k_or_curves,ladd3090-zw1,dynamic_wo_reach_yoloinit,122,122.0,0.35555,0.60837,0.35555,122.0,0.354462,0.353004,0.350244,0.34156359999999997,evidence/remote_3090/tar_snapshot/runs_public/ogsod/hbb/yoloinit_mainline_search_20260624/dynamic_wo_reach_yoloinit/yolo11n/seed0/ogsod_yoloinit_dynamic_wo_reach_yoloinit_yolo11n_e800_b64_img256_s0_20260624_161654_gpu1/results.csv
DroneVehicle/sub2k_or_curves,ladd3090-zw1,dynamic_wo_s_rec_yoloinit,224,224.0,0.42167,0.68015,0.42167,224.0,0.42069399999999996,0.41966200000000004,0.416892,0.40828400000000004,evidence/remote_3090/tar_snapshot/runs_public/ogsod/hbb/yoloinit_mainline_search_20260624/dynamic_wo_s_rec_yoloinit/yolo11n/seed0/ogsod_yoloinit_dynamic_wo_s_rec_yoloinit_yolo11n_e800_b64_img256_s0_20260624_1608_gpu1/results.csv
