epoch,time,train/s_box_loss,train/s_cls_loss,train/s_dfl_loss,train/t_box_loss,train/t_cls_loss,train/t_dfl_loss,train/cclkd_loss,train/cclkd_lld_loss,train/cclkd_fld_loss,train/cclkd_rld_loss,train/cclkd_ccl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/s_box_loss,val/s_cls_loss,val/s_dfl_loss,val/t_box_loss,val/t_cls_loss,val/t_dfl_loss,val/cclkd_loss,val/cclkd_lld_loss,val/cclkd_fld_loss,val/cclkd_rld_loss,val/cclkd_ccl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
38,6516.88,2.14236,1.31905,1.11496,1.73245,0.92044,0.99663,3.56268,2.85721,0.11458,0.00145,0.58944,0.547942,0.509512,0.509854,0.271119,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0293774,0.00979246,0.0293774,0.00979246,0.0293774,0.00979246,0.0293774,0.00979246
39,6680.26,2.12789,1.30861,1.11464,1.71883,0.91376,0.99452,3.55482,2.84191,0.11513,0.00141,0.59637,0.562067,0.516369,0.521587,0.275665,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0293435,0.00978118,0.0293435,0.00978118,0.0293435,0.00978118,0.0293435,0.00978118
40,6844.13,2.12401,1.29747,1.10713,1.72193,0.91005,0.98933,3.42373,2.7317,0.11706,0.00141,0.57356,0.547735,0.520449,0.524555,0.280915,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0293088,0.0097696,0.0293088,0.0097696,0.0293088,0.0097696,0.0293088,0.0097696
41,7009.33,2.11415,1.28914,1.10531,1.71191,0.9127,0.99318,3.4785,2.76354,0.10972,0.00138,0.60385,0.566012,0.525648,0.526527,0.281846,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
42,7173.85,2.12262,1.29362,1.10398,1.72065,0.90705,0.98907,3.4289,2.71397,0.11593,0.00141,0.59759,0.563564,0.531008,0.531697,0.285198,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0292367,0.00974557,0.0292367,0.00974557,0.0292367,0.00974557,0.0292367,0.00974557
43,7339.31,2.10482,1.2763,1.09948,1.71798,0.90209,0.99102,3.3488,2.64408,0.11853,0.00154,0.58464,0.556115,0.528299,0.531344,0.286894,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0291994,0.00973312,0.0291994,0.00973312,0.0291994,0.00973312,0.0291994,0.00973312
44,7503.65,2.0869,1.25593,1.09436,1.69829,0.89182,0.98417,3.29563,2.59104,0.11118,0.00141,0.592,0.569743,0.533907,0.538158,0.29245,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0291612,0.00972039,0.0291612,0.00972039,0.0291612,0.00972039,0.0291612,0.00972039
45,7667.16,2.10411,1.27132,1.10034,1.70443,0.89067,0.98344,3.40913,2.70297,0.11458,0.00149,0.59009,0.572823,0.530325,0.537831,0.29112,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
46,7832.17,2.08321,1.2541,1.09078,1.69841,0.88483,0.98327,3.39888,2.69261,0.11874,0.00149,0.58604,0.571955,0.527985,0.541966,0.296345,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0290821,0.00969405,0.0290821,0.00969405,0.0290821,0.00969405,0.0290821,0.00969405
47,7996.9,2.06015,1.24043,1.08538,1.68505,0.883,0.98134,3.34078,2.64463,0.12227,0.00148,0.57241,0.564642,0.544328,0.551084,0.304129,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0290413,0.00968045,0.0290413,0.00968045,0.0290413,0.00968045,0.0290413,0.00968045
