epoch,time,train/s_box_loss,train/s_cls_loss,train/s_dfl_loss,train/t_box_loss,train/t_cls_loss,train/t_dfl_loss,train/cclkd_loss,train/cclkd_lld_loss,train/cclkd_fld_loss,train/cclkd_rld_loss,train/cclkd_ccl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/s_box_loss,val/s_cls_loss,val/s_dfl_loss,val/t_box_loss,val/t_cls_loss,val/t_dfl_loss,val/cclkd_loss,val/cclkd_lld_loss,val/cclkd_fld_loss,val/cclkd_rld_loss,val/cclkd_ccl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
38,5773.48,2.13789,1.31135,1.12249,1.7375,0.92483,0.99742,1.54264,1.36356,0.17899,9e-05,0,0.532356,0.516432,0.512702,0.271971,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0293774,0.00979246,0.0293774,0.00979246,0.0293774,0.00979246,0.0293774,0.00979246
39,5928.86,2.12975,1.30743,1.11985,1.726,0.92212,0.99739,1.56591,1.38952,0.1763,8e-05,0,0.56346,0.509644,0.518838,0.275473,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0293435,0.00978118,0.0293435,0.00978118,0.0293435,0.00978118,0.0293435,0.00978118
40,6081.01,2.11963,1.29759,1.11409,1.7215,0.91384,0.99443,1.49206,1.32128,0.17069,9e-05,0,0.561174,0.515195,0.525074,0.277183,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0293088,0.0097696,0.0293088,0.0097696,0.0293088,0.0097696,0.0293088,0.0097696
41,6231.61,2.10855,1.28382,1.11007,1.70972,0.90145,0.99078,1.51209,1.33608,0.17592,9e-05,0,0.544511,0.52096,0.520519,0.279572,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
42,6381.43,2.10812,1.28411,1.10687,1.71826,0.90812,0.99236,1.50143,1.32394,0.17739,0.0001,0,0.549464,0.51706,0.526996,0.283016,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0292367,0.00974557,0.0292367,0.00974557,0.0292367,0.00974557,0.0292367,0.00974557
43,6531.63,2.10213,1.27999,1.10615,1.71079,0.9007,0.98815,1.50197,1.3215,0.18037,0.0001,0,0.545465,0.53092,0.533878,0.28713,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0291994,0.00973312,0.0291994,0.00973312,0.0291994,0.00973312,0.0291994,0.00973312
44,6680.34,2.08263,1.2584,1.09572,1.70108,0.89307,0.98678,1.51569,1.34594,0.16966,9e-05,0,0.569638,0.526994,0.537886,0.291437,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0291612,0.00972039,0.0291612,0.00972039,0.0291612,0.00972039,0.0291612,0.00972039
45,6830.3,2.09315,1.26543,1.10265,1.69994,0.8921,0.98583,1.50831,1.33448,0.17373,9e-05,0,0.567945,0.533416,0.541514,0.294909,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
46,6981.04,2.08108,1.25919,1.09456,1.69677,0.88744,0.98336,1.48976,1.31279,0.17687,0.0001,0,0.579615,0.530449,0.542628,0.296199,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0290821,0.00969405,0.0290821,0.00969405,0.0290821,0.00969405,0.0290821,0.00969405
47,7130.04,2.06345,1.24008,1.09116,1.6788,0.87933,0.97805,1.45329,1.27616,0.17704,0.0001,0,0.55016,0.540155,0.541042,0.295548,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0290413,0.00968045,0.0290413,0.00968045,0.0290413,0.00968045,0.0290413,0.00968045
48,7278.13,2.05378,1.23847,1.08688,1.68482,0.87888,0.9806,1.40658,1.22926,0.17722,0.0001,0,0.568981,0.539843,0.54464,0.300263,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0289997,0.00966656,0.0289997,0.00966656,0.0289997,0.00966656,0.0289997,0.00966656
49,7426.59,2.05022,1.22242,1.08552,1.68866,0.87647,0.9802,1.39355,1.21742,0.17603,0.0001,0,0.574467,0.543368,0.552071,0.306471,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
50,7574.91,2.04058,1.22782,1.08213,1.66868,0.86988,0.97571,1.467,1.28968,0.17722,0.0001,0,0.579196,0.544986,0.553824,0.308279,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0289138,0.00963794,0.0289138,0.00963794,0.0289138,0.00963794,0.0289138,0.00963794
51,7722.46,2.04125,1.21786,1.09058,1.67329,0.87112,0.98155,1.3882,1.2131,0.175,0.0001,0,0.574628,0.548966,0.556735,0.310386,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232
52,7869.45,2.03168,1.20741,1.08008,1.6693,0.87295,0.9749,1.40487,1.23407,0.1707,0.0001,0,0.578123,0.549018,0.559292,0.310665,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0288246,0.00960819,0.0288246,0.00960819,0.0288246,0.00960819,0.0288246,0.00960819
53,8017.96,2.02187,1.19864,1.07728,1.66051,0.86047,0.97427,1.3895,1.21927,0.17014,9e-05,0,0.58774,0.548939,0.560922,0.314229,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
