epoch,time,train/s_box_loss,train/s_cls_loss,train/s_dfl_loss,train/t_box_loss,train/t_cls_loss,train/t_dfl_loss,train/cclkd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/s_box_loss,val/s_cls_loss,val/s_dfl_loss,val/t_box_loss,val/t_cls_loss,val/t_dfl_loss,val/cclkd_loss,lr/pg0,lr/pg1,lr/pg2
109,22376.7,2.1235,1.44758,1.10487,2.16015,1.67125,1.28689,0.18649,0.570589,0.499412,0.508151,0.282417,nan,nan,nan,nan,nan,nan,nan,0.007327,0.007327,0.007327
110,22510,2.14107,1.45638,1.10701,2.19372,1.6859,1.29525,0.1819,0.57178,0.499637,0.508074,0.282852,nan,nan,nan,nan,nan,nan,nan,0.00730225,0.00730225,0.00730225
111,22643.3,2.10927,1.43338,1.10128,2.18697,1.69582,1.30457,0.19093,0.571955,0.499343,0.508619,0.283366,nan,nan,nan,nan,nan,nan,nan,0.0072775,0.0072775,0.0072775
112,22775.8,2.11333,1.44317,1.10287,2.18249,1.70051,1.311,0.18222,0.573445,0.500355,0.509906,0.284336,nan,nan,nan,nan,nan,nan,nan,0.00725275,0.00725275,0.00725275
113,22911.3,2.12595,1.43497,1.10273,2.20709,1.71621,1.31469,0.17342,0.571291,0.500816,0.51014,0.284857,nan,nan,nan,nan,nan,nan,nan,0.007228,0.007228,0.007228
114,23044.8,2.12908,1.45172,1.10692,2.21032,1.71631,1.32237,0.16297,0.571037,0.500489,0.510524,0.285263,nan,nan,nan,nan,nan,nan,nan,0.00720325,0.00720325,0.00720325
115,23174.6,2.11414,1.43398,1.10318,2.22444,1.73319,1.32997,0.15939,0.572902,0.502585,0.511729,0.285712,nan,nan,nan,nan,nan,nan,nan,0.0071785,0.0071785,0.0071785
116,23306.4,2.10995,1.42466,1.10285,2.22877,1.72802,1.33575,0.1517,0.573344,0.503236,0.512547,0.286286,nan,nan,nan,nan,nan,nan,nan,0.00715375,0.00715375,0.00715375
117,23437,2.10582,1.42189,1.0978,2.22407,1.73927,1.34142,0.15755,0.574162,0.502575,0.512588,0.286543,nan,nan,nan,nan,nan,nan,nan,0.007129,0.007129,0.007129
118,23568.1,2.10545,1.41582,1.09936,2.22979,1.74142,1.35079,0.15957,0.574504,0.501801,0.513322,0.286961,nan,nan,nan,nan,nan,nan,nan,0.00710425,0.00710425,0.00710425
119,23700.1,2.10145,1.4157,1.09577,2.25241,1.75801,1.35789,0.14634,0.57537,0.502248,0.513622,0.287802,nan,nan,nan,nan,nan,nan,nan,0.0070795,0.0070795,0.0070795
120,23833.2,2.07958,1.40354,1.09611,2.23863,1.7661,1.36797,0.16052,0.578131,0.50115,0.514692,0.288224,nan,nan,nan,nan,nan,nan,nan,0.00705475,0.00705475,0.00705475
121,23965.3,2.10287,1.41567,1.09826,2.25709,1.77171,1.36857,0.15321,0.577849,0.501221,0.515477,0.288708,nan,nan,nan,nan,nan,nan,nan,0.00703,0.00703,0.00703
122,24097.7,2.0972,1.39523,1.0948,2.27864,1.79312,1.38093,0.13464,0.577652,0.502343,0.515926,0.289006,nan,nan,nan,nan,nan,nan,nan,0.00700525,0.00700525,0.00700525
123,24230.7,2.10251,1.41574,1.09343,2.28795,1.80411,1.38992,0.14544,0.577832,0.500654,0.515817,0.289311,nan,nan,nan,nan,nan,nan,nan,0.0069805,0.0069805,0.0069805
124,24361.7,2.08002,1.40798,1.09332,2.29419,1.82054,1.40492,0.13791,0.580645,0.499565,0.51604,0.289658,nan,nan,nan,nan,nan,nan,nan,0.00695575,0.00695575,0.00695575
125,24491.4,2.08318,1.40112,1.09577,2.30449,1.82612,1.40808,0.13607,0.57895,0.500913,0.516471,0.29044,nan,nan,nan,nan,nan,nan,nan,0.006931,0.006931,0.006931
