epoch,time,train/s_box_loss,train/s_cls_loss,train/s_dfl_loss,train/t_box_loss,train/t_cls_loss,train/t_dfl_loss,train/cclkd_loss,train/cclkd_lld_loss,train/cclkd_fld_loss,train/cclkd_rld_loss,train/cclkd_ccl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/s_box_loss,val/s_cls_loss,val/s_dfl_loss,val/t_box_loss,val/t_cls_loss,val/t_dfl_loss,val/cclkd_loss,val/cclkd_lld_loss,val/cclkd_fld_loss,val/cclkd_rld_loss,val/cclkd_ccl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
43,6468.42,2.11677,1.29415,1.10556,1.71735,0.91089,0.99261,5.21794,2.65759,0.09112,2.46923,0,0.547086,0.526909,0.526775,0.285144,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0291994,0.00973312,0.0291994,0.00973312,0.0291994,0.00973312,0.0291994,0.00973312
44,6620.18,2.09913,1.27116,1.09733,1.70042,0.89898,0.98775,5.41881,2.58963,0.0845,2.74468,0,0.57764,0.530446,0.538464,0.290515,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0291612,0.00972039,0.0291612,0.00972039,0.0291612,0.00972039,0.0291612,0.00972039
45,6772.63,2.10645,1.27603,1.10264,1.70003,0.89508,0.98469,5.59548,2.7611,0.08423,2.75016,0,0.57752,0.527633,0.537696,0.289666,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
46,6922.44,2.08409,1.26309,1.09539,1.68885,0.88706,0.98133,5.21992,2.64299,0.0874,2.48953,0,0.58781,0.529774,0.542872,0.291914,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0290821,0.00969405,0.0290821,0.00969405,0.0290821,0.00969405,0.0290821,0.00969405
47,7072.78,2.0772,1.25407,1.09268,1.6781,0.87725,0.98045,5.35897,2.59509,0.08721,2.67667,0,0.585692,0.542501,0.552549,0.298982,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0290413,0.00968045,0.0290413,0.00968045,0.0290413,0.00968045,0.0290413,0.00968045
48,7225.32,2.07476,1.24962,1.09206,1.67968,0.87827,0.97859,5.42748,2.64017,0.08864,2.69866,0,0.580245,0.541881,0.550893,0.297389,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0289997,0.00966656,0.0289997,0.00966656,0.0289997,0.00966656,0.0289997,0.00966656
49,7378.63,2.06509,1.23584,1.08565,1.68692,0.87552,0.97925,5.40051,2.74345,0.09275,2.5643,0,0.580915,0.539717,0.551659,0.300461,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
50,7534.42,2.05567,1.22821,1.08608,1.67546,0.87432,0.97776,5.06473,2.5824,0.09318,2.38915,0,0.58724,0.542603,0.55428,0.302668,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0289138,0.00963794,0.0289138,0.00963794,0.0289138,0.00963794,0.0289138,0.00963794
51,7688.26,2.05739,1.22932,1.09158,1.66949,0.86752,0.97956,5.06118,2.57068,0.09054,2.39996,0,0.598178,0.544738,0.558686,0.305279,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232
52,7840.17,2.04911,1.22913,1.082,1.66976,0.86728,0.97482,4.99895,2.51491,0.09043,2.39362,0,0.607712,0.547405,0.5656,0.310842,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0288246,0.00960819,0.0288246,0.00960819,0.0288246,0.00960819,0.0288246,0.00960819
