epoch,stage,lr_pg0,lr_pg1,lr_pg2,train_box_loss,train_cls_loss,train_dfl_loss,kd_loss,reach_match_loss,reach_rank_loss,cmdistill_pcc_levels,cmdistill_slrd_tokens,cmdistill_ibcld_candidate_ratio,cmdistill_ibcld_fg_count,cmdistill_ibcld_teacher_conf_added_count,cmdistill_ibcld_cls_loss,cmdistill_ibcld_box_loss,cmdistill_pcc_loss,cmdistill_relation_loss,cmdistill_ibcld_loss,cmdistill_total_loss,bn_running_var_max,bn_running_var_mean,bn_running_var_p95,bn_running_mean_abs_max,bn_num_layers,bn_stats_mode,bn_stats_frozen_this_epoch,nonfinite_metrics_or_cmdistill,nonfinite_bn_stats,nan_or_inf_detected,grad_norm_total,grad_norm_backbone,grad_norm_neck,grad_norm_head,base_alpha_kd,effective_alpha_kd,kd_multiplier,kd_warmup_active,ladd_kd_decay_mode,ladd_kd_decay_start_epoch,ladd_kd_decay_end_epoch,ladd_kd_final_mult,ladd_kd_stop_after_epoch,b_loss_warmup_mode,b_loss_warmup_start_epoch,b_loss_warmup_end_epoch,b_loss_warmup_final_mult,b_loss_warmup_scope,b_loss_warmup_multiplier,b_loss_warmup_active,ladd_b_a2_core,ladd_b_frozen_reach_probe,ladd_b_detach_reach_probe,ladd_b_keep_reach_probe_grad,ladd_b_det_only,ladd_a2_det_only,effective_alpha_s_rec,effective_lambda_reach,effective_lambda_match_inner,effective_lambda_rank_inner
31,b,0.029897066585780653,0.009965688861926884,0.029897066585780653,2.26828,1.48209,1.18157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,492.8604431152344,6.979531764984131,21.866226196289062,38.8679084777832,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,1.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
32,b,0.029890098605427757,0.009963366201809253,0.029890098605427757,2.23905,1.45561,1.1709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485.8720397949219,7.119389533996582,22.91558837890625,41.07372283935547,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,1.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
33,b,0.029882903314519996,0.009960967771506665,0.029882903314519996,2.22863,1.44959,1.17338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,478.6979675292969,7.228752613067627,23.48154640197754,41.49149703979492,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,1.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
34,b,0.029875480824017656,0.009958493608005886,0.029875480824017656,2.23645,1.45011,1.17256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511.9325256347656,7.319135665893555,23.411535263061523,45.794288635253906,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,1.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
35,b,0.029867831248384727,0.009955943749461576,0.029867831248384727,2.20988,1.42876,1.16422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515.9329223632812,7.484818935394287,24.315683364868164,43.23185729980469,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,1.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
36,b,0.02985995470558712,0.009953318235195708,0.02985995470558712,2.20511,1.42151,1.15598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491.6506652832031,7.567145824432373,24.941856384277344,44.886478424072266,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,1.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
37,b,0.029851851317090877,0.00995061710569696,0.029851851317090877,2.20204,1.40004,1.15373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,499.647216796875,7.600986957550049,25.73141098022461,49.550086975097656,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,1.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
38,b,0.029843521207860275,0.009947840402620091,0.029843521207860275,2.19326,1.39517,1.15399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,481.2090148925781,7.701916694641113,26.145431518554688,51.714454650878906,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,1.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
39,b,0.029834964506355893,0.009944988168785298,0.029834964506355893,2.18299,1.38741,1.14699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,524.1959228515625,7.7562127113342285,26.561540603637695,51.047298431396484,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,1.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
40,b,0.02982618134453266,0.009942060448177553,0.02982618134453266,2.18129,1.3769,1.14278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,521.1004028320312,7.8108811378479,26.793621063232422,49.474151611328125,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,1.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
