epoch,time,train/s_box_loss,train/s_cls_loss,train/s_dfl_loss,train/t_box_loss,train/t_cls_loss,train/t_dfl_loss,train/cclkd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/s_box_loss,val/s_cls_loss,val/s_dfl_loss,val/t_box_loss,val/t_cls_loss,val/t_dfl_loss,val/cclkd_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
55,8527.16,2.00277,1.18859,1.07165,1.64532,0.85155,0.9685,1.2487,0.585268,0.555446,0.56633,0.319656,nan,nan,nan,nan,nan,nan,nan,0.0286843,0.00956145,0.0286843,0.00956145,0.0286843,0.00956145,0.0286843,0.00956145
56,8679.61,2.00044,1.18336,1.06795,1.64852,0.85031,0.96893,1.24838,0.588381,0.557504,0.56973,0.323076,nan,nan,nan,nan,nan,nan,nan,0.0286359,0.00954531,0.0286359,0.00954531,0.0286359,0.00954531,0.0286359,0.00954531
57,8833.14,1.98262,1.17565,1.06375,1.64906,0.84952,0.96619,1.19461,0.592707,0.562548,0.57275,0.326549,nan,nan,nan,nan,nan,nan,nan,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
58,8985.12,1.9869,1.17257,1.06432,1.64718,0.8467,0.96467,1.23989,0.596888,0.562539,0.571919,0.326688,nan,nan,nan,nan,nan,nan,nan,0.0285366,0.0095122,0.0285366,0.0095122,0.0285366,0.0095122,0.0285366,0.0095122
59,9137.46,1.98284,1.16374,1.05842,1.64509,0.84998,0.96498,1.21231,0.597349,0.560264,0.571494,0.327771,nan,nan,nan,nan,nan,nan,nan,0.0284857,0.00949524,0.0284857,0.00949524,0.0284857,0.00949524,0.0284857,0.00949524
60,9292.13,1.97869,1.16655,1.059,1.63992,0.84526,0.96249,1.26872,0.609132,0.562541,0.575122,0.330156,nan,nan,nan,nan,nan,nan,nan,0.028434,0.009478,0.028434,0.009478,0.028434,0.009478,0.028434,0.009478
61,9445.84,1.96771,1.15597,1.05673,1.63068,0.83929,0.96025,1.22683,0.611531,0.565674,0.578333,0.332442,nan,nan,nan,nan,nan,nan,nan,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
62,9597.33,1.96706,1.15182,1.05562,1.64271,0.83971,0.96443,1.24378,0.612755,0.569895,0.578728,0.333833,nan,nan,nan,nan,nan,nan,nan,0.0283281,0.0094427,0.0283281,0.0094427,0.0283281,0.0094427,0.0283281,0.0094427
63,9749.86,1.9527,1.14046,1.05019,1.63478,0.83862,0.96079,1.21534,0.615526,0.569349,0.579676,0.336035,nan,nan,nan,nan,nan,nan,nan,0.0282739,0.00942464,0.0282739,0.00942464,0.0282739,0.00942464,0.0282739,0.00942464
64,9900.94,1.95282,1.13395,1.0524,1.6259,0.83224,0.95983,1.23698,0.615194,0.572731,0.58355,0.337456,nan,nan,nan,nan,nan,nan,nan,0.0282189,0.00940631,0.0282189,0.00940631,0.0282189,0.00940631,0.0282189,0.00940631
65,10052.1,1.94952,1.1266,1.05575,1.62396,0.82573,0.96059,1.19356,0.62412,0.573076,0.585647,0.338394,nan,nan,nan,nan,nan,nan,nan,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
66,10204.5,1.94819,1.13048,1.05131,1.62465,0.83091,0.95832,1.18325,0.623407,0.575776,0.587691,0.339724,nan,nan,nan,nan,nan,nan,nan,0.0281066,0.00936886,0.0281066,0.00936886,0.0281066,0.00936886,0.0281066,0.00936886
