epoch,time,train/s_box_loss,train/s_cls_loss,train/s_dfl_loss,train/t_box_loss,train/t_cls_loss,train/t_dfl_loss,train/cclkd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/s_box_loss,val/s_cls_loss,val/s_dfl_loss,val/t_box_loss,val/t_cls_loss,val/t_dfl_loss,val/cclkd_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
48,7215.74,2.06545,1.24353,1.11333,1.68191,0.87718,0.97835,0.23825,0.594982,0.534863,0.547367,0.300832,nan,nan,nan,nan,nan,nan,nan,0.0289997,0.00966656,0.0289997,0.00966656,0.0289997,0.00966656,0.0289997,0.00966656
49,7366.8,2.06519,1.23522,1.10739,1.68456,0.88072,0.97993,0.22412,0.583819,0.540097,0.547088,0.301691,nan,nan,nan,nan,nan,nan,nan,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
50,7516.05,2.04126,1.2271,1.10393,1.66595,0.86371,0.9748,0.23662,0.584219,0.537365,0.545892,0.302388,nan,nan,nan,nan,nan,nan,nan,0.0289138,0.00963794,0.0289138,0.00963794,0.0289138,0.00963794,0.0289138,0.00963794
51,7666.6,2.0452,1.22264,1.10774,1.66769,0.86751,0.97662,0.23743,0.580471,0.547804,0.552181,0.307035,nan,nan,nan,nan,nan,nan,nan,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232
52,7815.93,2.03041,1.21574,1.09908,1.66651,0.86855,0.97155,0.24259,0.591213,0.54884,0.555001,0.309554,nan,nan,nan,nan,nan,nan,nan,0.0288246,0.00960819,0.0288246,0.00960819,0.0288246,0.00960819,0.0288246,0.00960819
53,7966.23,2.02448,1.20121,1.09856,1.66094,0.8572,0.97372,0.22337,0.594716,0.551918,0.560491,0.31352,nan,nan,nan,nan,nan,nan,nan,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
54,8116.7,2.02457,1.1977,1.10076,1.65752,0.85529,0.97209,0.22897,0.598459,0.55406,0.563571,0.316957,nan,nan,nan,nan,nan,nan,nan,0.0287319,0.00957731,0.0287319,0.00957731,0.0287319,0.00957731,0.0287319,0.00957731
55,8264.73,2.0154,1.19642,1.09634,1.65524,0.8581,0.96904,0.2271,0.607055,0.553565,0.565773,0.318434,nan,nan,nan,nan,nan,nan,nan,0.0286843,0.00956145,0.0286843,0.00956145,0.0286843,0.00956145,0.0286843,0.00956145
56,8410.32,2.00917,1.18756,1.09149,1.64712,0.84922,0.96657,0.22909,0.603606,0.552263,0.567421,0.320417,nan,nan,nan,nan,nan,nan,nan,0.0286359,0.00954531,0.0286359,0.00954531,0.0286359,0.00954531,0.0286359,0.00954531
57,8557.15,2.00604,1.18525,1.09107,1.64234,0.84917,0.96697,0.23364,0.6131,0.560388,0.571432,0.322743,nan,nan,nan,nan,nan,nan,nan,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
58,8705.29,2.00321,1.18164,1.08974,1.63926,0.85353,0.96785,0.2389,0.614975,0.562151,0.573487,0.324255,nan,nan,nan,nan,nan,nan,nan,0.0285366,0.0095122,0.0285366,0.0095122,0.0285366,0.0095122,0.0285366,0.0095122
59,8854.81,1.98797,1.17657,1.08541,1.63032,0.84496,0.96285,0.23421,0.618491,0.563075,0.575374,0.325182,nan,nan,nan,nan,nan,nan,nan,0.0284857,0.00949524,0.0284857,0.00949524,0.0284857,0.00949524,0.0284857,0.00949524
60,9005.56,1.97327,1.16316,1.07642,1.63046,0.84106,0.96325,0.22495,0.61871,0.564755,0.577236,0.328546,nan,nan,nan,nan,nan,nan,nan,0.028434,0.009478,0.028434,0.009478,0.028434,0.009478,0.028434,0.009478
61,9155.17,1.97172,1.15452,1.0806,1.62799,0.83449,0.96247,0.22366,0.627831,0.564331,0.579222,0.330362,nan,nan,nan,nan,nan,nan,nan,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
