epoch,time,train/s_box_loss,train/s_cls_loss,train/s_dfl_loss,train/t_box_loss,train/t_cls_loss,train/t_dfl_loss,train/cclkd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/s_box_loss,val/s_cls_loss,val/s_dfl_loss,val/t_box_loss,val/t_cls_loss,val/t_dfl_loss,val/cclkd_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
44,6827.94,2.08858,1.25529,1.0941,1.70252,0.89466,0.98479,2.79013,0.569,0.531499,0.538998,0.290505,nan,nan,nan,nan,nan,nan,nan,0.0291612,0.00972039,0.0291612,0.00972039,0.0291612,0.00972039,0.0291612,0.00972039
45,6985.55,2.0866,1.2621,1.09782,1.70107,0.89458,0.98685,2.94658,0.564809,0.529205,0.536901,0.293293,nan,nan,nan,nan,nan,nan,nan,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
46,7147.02,2.07778,1.25024,1.09014,1.69503,0.88562,0.98041,2.86641,0.563939,0.53251,0.538555,0.293663,nan,nan,nan,nan,nan,nan,nan,0.0290821,0.00969405,0.0290821,0.00969405,0.0290821,0.00969405,0.0290821,0.00969405
47,7307.26,2.06162,1.23183,1.088,1.677,0.88474,0.98064,2.85061,0.568068,0.538288,0.547859,0.301572,nan,nan,nan,nan,nan,nan,nan,0.0290413,0.00968045,0.0290413,0.00968045,0.0290413,0.00968045,0.0290413,0.00968045
48,7463.01,2.05414,1.23119,1.08512,1.68376,0.87812,0.9818,2.90349,0.598994,0.525039,0.549147,0.303386,nan,nan,nan,nan,nan,nan,nan,0.0289997,0.00966656,0.0289997,0.00966656,0.0289997,0.00966656,0.0289997,0.00966656
49,7619.95,2.05174,1.22271,1.08446,1.68135,0.87873,0.97808,2.78854,0.590211,0.531209,0.549652,0.306198,nan,nan,nan,nan,nan,nan,nan,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
50,7775.99,2.03488,1.22064,1.0791,1.6672,0.86955,0.97376,2.86817,0.566438,0.545116,0.551512,0.305113,nan,nan,nan,nan,nan,nan,nan,0.0289138,0.00963794,0.0289138,0.00963794,0.0289138,0.00963794,0.0289138,0.00963794
51,7931.05,2.04028,1.2137,1.08436,1.67271,0.87229,0.98303,2.75028,0.584993,0.539767,0.552168,0.308117,nan,nan,nan,nan,nan,nan,nan,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232
52,8085.91,2.02936,1.21321,1.07572,1.66443,0.87001,0.97433,2.71426,0.585718,0.544505,0.555323,0.311781,nan,nan,nan,nan,nan,nan,nan,0.0288246,0.00960819,0.0288246,0.00960819,0.0288246,0.00960819,0.0288246,0.00960819
53,8241.32,2.01607,1.19545,1.07347,1.65807,0.86118,0.97482,2.70504,0.605914,0.545066,0.559735,0.317082,nan,nan,nan,nan,nan,nan,nan,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
54,8396.58,2.01933,1.19815,1.07403,1.66012,0.86476,0.97355,2.69753,0.603157,0.551652,0.56511,0.320246,nan,nan,nan,nan,nan,nan,nan,0.0287319,0.00957731,0.0287319,0.00957731,0.0287319,0.00957731,0.0287319,0.00957731
55,8552.87,2.01252,1.18806,1.06888,1.65713,0.86292,0.97339,2.70326,0.605423,0.553876,0.568267,0.322828,nan,nan,nan,nan,nan,nan,nan,0.0286843,0.00956145,0.0286843,0.00956145,0.0286843,0.00956145,0.0286843,0.00956145
56,8712.43,2.00642,1.1833,1.06744,1.65147,0.85471,0.96832,2.81264,0.595974,0.556278,0.570166,0.324971,nan,nan,nan,nan,nan,nan,nan,0.0286359,0.00954531,0.0286359,0.00954531,0.0286359,0.00954531,0.0286359,0.00954531
57,8870.78,1.99827,1.17684,1.06593,1.64233,0.8528,0.9673,2.66712,0.601398,0.558759,0.574192,0.326399,nan,nan,nan,nan,nan,nan,nan,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
58,9029.37,1.98629,1.16827,1.06254,1.64088,0.84837,0.97001,2.66589,0.599339,0.564395,0.57636,0.328516,nan,nan,nan,nan,nan,nan,nan,0.0285366,0.0095122,0.0285366,0.0095122,0.0285366,0.0095122,0.0285366,0.0095122
59,9186.08,1.981,1.16306,1.05697,1.63212,0.84469,0.96501,2.70409,0.613347,0.56012,0.579095,0.329786,nan,nan,nan,nan,nan,nan,nan,0.0284857,0.00949524,0.0284857,0.00949524,0.0284857,0.00949524,0.0284857,0.00949524
60,9341.55,1.98062,1.16149,1.0571,1.62899,0.83577,0.96159,2.65657,0.620448,0.560431,0.581894,0.332738,nan,nan,nan,nan,nan,nan,nan,0.028434,0.009478,0.028434,0.009478,0.028434,0.009478,0.028434,0.009478
61,9495.97,1.97644,1.15575,1.05499,1.61964,0.83115,0.96085,2.70455,0.609521,0.563145,0.58086,0.332963,nan,nan,nan,nan,nan,nan,nan,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
