epoch,stage,lr_pg0,lr_pg1,lr_pg2,train_box_loss,train_cls_loss,train_dfl_loss,kd_loss,reach_match_loss,reach_rank_loss,bn_running_var_max,bn_running_var_mean,bn_running_var_p95,bn_running_mean_abs_max,bn_num_layers,bn_stats_mode,bn_stats_frozen_this_epoch,nan_or_inf_detected,grad_norm_total,grad_norm_backbone,grad_norm_neck,grad_norm_head,base_alpha_kd,effective_alpha_kd,kd_multiplier,kd_warmup_active,ladd_kd_decay_mode,ladd_kd_decay_start_epoch,ladd_kd_decay_end_epoch,ladd_kd_final_mult,ladd_kd_stop_after_epoch,ladd_b_det_only,ladd_a2_det_only,effective_alpha_s_rec,effective_alpha_sep,effective_lambda_residual_aux,effective_lambda_reach,effective_lambda_match_inner,effective_lambda_rank_inner
38,b,0.002104764617592649,0.0007015882058642164,0.002104764617592649,0.76758,0.37118,0.80137,0.12881,0.0,0.0,155.75,1.1527643203735352,5.660747528076172,20.984375,81,always_freeze,1,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
39,b,0.002061664960736747,0.0006872216535789157,0.002061664960736747,0.76329,0.37174,0.80205,0.12518,0.0,0.0,155.75,1.1527643203735352,5.660747528076172,20.984375,81,always_freeze,1,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
40,b,0.0020180258115642578,0.0006726752705214193,0.0020180258115642578,0.76253,0.36982,0.80149,0.12878,0.0,0.0,155.75,1.1527643203735352,5.660747528076172,20.984375,81,always_freeze,1,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
41,b,0.001973890236646797,0.0006579634122155991,0.001973890236646797,0.76184,0.36949,0.80183,0.12494,0.0,0.0,155.75,1.1527643203735352,5.660747528076172,20.984375,81,always_freeze,1,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
42,b,0.001929301792468256,0.0006431005974894186,0.001929301792468256,0.75921,0.36847,0.80208,0.12108,0.0,0.0,155.75,1.1527643203735352,5.660747528076172,20.984375,81,always_freeze,1,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
43,b,0.0018843044824398093,0.0006281014941466031,0.0018843044824398093,0.75521,0.36791,0.80079,0.12135,0.0,0.0,155.75,1.1527643203735352,5.660747528076172,20.984375,81,always_freeze,1,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
44,b,0.0018389427134738658,0.0006129809044912887,0.0018389427134738658,0.7547,0.36575,0.80104,0.1208,0.0,0.0,155.75,1.1527643203735352,5.660747528076172,20.984375,81,always_freeze,1,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
45,b,0.0017932612521598013,0.0005977537507199337,0.0017932612521598013,0.75302,0.36415,0.80101,0.12005,0.0,0.0,155.75,1.1527643203735352,5.660747528076172,20.984375,81,always_freeze,1,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
46,b,0.001747305180584743,0.0005824350601949143,0.001747305180584743,0.75091,0.36422,0.80104,0.12149,0.0,0.0,155.75,1.1527643203735352,5.660747528076172,20.984375,81,always_freeze,1,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
47,b,0.001701119851842992,0.0005670399506143307,0.001701119851842992,0.74457,0.36427,0.80116,0.12673,0.0,0.0,155.75,1.1527643203735352,5.660747528076172,20.984375,81,always_freeze,1,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
48,b,0.0016547508452779936,0.0005515836150926645,0.0016547508452779936,0.74428,0.36171,0.79866,0.12558,0.0,0.0,155.75,1.1527643203735352,5.660747528076172,20.984375,81,always_freeze,1,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
49,b,0.0016082439215010305,0.0005360813071670102,0.0016082439215010305,0.73936,0.36114,0.80098,0.12428,0.0,0.0,155.75,1.1527643203735352,5.660747528076172,20.984375,81,always_freeze,1,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
50,b,0.0015616449772310208,0.0005205483257436736,0.0015616449772310208,0.73974,0.36011,0.79883,0.12116,0.0,0.0,155.75,1.1527643203735352,5.660747528076172,20.984375,81,always_freeze,1,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
51,b,0.0015150000000000003,0.0005050000000000001,0.0015150000000000003,0.73201,0.35788,0.798,0.11934,0.0,0.0,155.75,1.1527643203735352,5.660747528076172,20.984375,81,always_freeze,1,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
52,b,0.0014683550227689796,0.0004894516742563266,0.0014683550227689796,0.74115,0.36125,0.79871,0.11973,0.0,0.0,155.75,1.1527643203735352,5.660747528076172,20.984375,81,always_freeze,1,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
53,b,0.0014217560784989694,0.0004739186928329898,0.0014217560784989694,0.73116,0.35699,0.80007,0.12086,0.0,0.0,155.75,1.1527643203735352,5.660747528076172,20.984375,81,always_freeze,1,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
54,b,0.001375249154722006,0.0004584163849073354,0.001375249154722006,0.73169,0.35832,0.79878,0.1147,0.0,0.0,155.75,1.1527643203735352,5.660747528076172,20.984375,81,always_freeze,1,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
55,b,0.001328880148157008,0.0004429600493856694,0.001328880148157008,0.72787,0.35635,0.79841,0.11346,0.0,0.0,155.75,1.1527643203735352,5.660747528076172,20.984375,81,always_freeze,1,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
56,b,0.0012826948194152575,0.0004275649398050858,0.0012826948194152575,0.72404,0.35514,0.79892,0.12178,0.0,0.0,155.75,1.1527643203735352,5.660747528076172,20.984375,81,always_freeze,1,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
57,b,0.001236738747840199,0.0004122462492800664,0.001236738747840199,0.72429,0.35649,0.79858,0.11456,0.0,0.0,155.75,1.1527643203735352,5.660747528076172,20.984375,81,always_freeze,1,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
58,b,0.0011910572865261348,0.00039701909550871165,0.0011910572865261348,0.72271,0.3529,0.79694,0.11402,0.0,0.0,155.75,1.1527643203735352,5.660747528076172,20.984375,81,always_freeze,1,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
59,b,0.0011456955175601908,0.0003818985058533969,0.0011456955175601908,0.72386,0.35405,0.79893,0.12225,0.0,0.0,155.75,1.1527643203735352,5.660747528076172,20.984375,81,always_freeze,1,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
60,b,0.0011006982075317448,0.0003668994025105816,0.0011006982075317448,0.71851,0.35339,0.79848,0.11643,0.0,0.0,155.75,1.1527643203735352,5.660747528076172,20.984375,81,always_freeze,1,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
61,b,0.001056109763353204,0.0003520365877844013,0.001056109763353204,0.71606,0.3523,0.79563,0.12318,0.0,0.0,155.75,1.1527643203735352,5.660747528076172,20.984375,81,always_freeze,1,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
62,b,0.0010119741884357426,0.00033732472947858085,0.0010119741884357426,0.71265,0.34918,0.79911,0.11241,0.0,0.0,155.75,1.1527643203735352,5.660747528076172,20.984375,81,always_freeze,1,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
