# source_log: /mnt/dataY/ydf/projects/LADD_og/logs/formal_nomosaic_20260528/baselines/rgb_yolo11n_hbb_800ep_cos_nomosaic_albu_b64_s42_gpu5.log
# source_log_size_bytes: 33783947
# note: extracted from raw log; ANSI progress control characters removed; full raw log retained on server 90.

800/800      2.53G     0.8569     0.4106      0.809        121        256: 61% ━━━━━━━───── 141/230 3.0it/s 45.5s<30.1s
800/800      2.53G     0.8583     0.4108     0.8092        215        256: 62% ━━━━━━━───── 142/230 2.9it/s 45.9s<30.2s
800/800      2.53G     0.8576     0.4107     0.8092        127        256: 62% ━━━━━━━───── 143/230 2.9it/s 46.2s<30.2s
800/800      2.53G     0.8583      0.411     0.8094        189        256: 63% ━━━━━━━╸──── 144/230 2.8it/s 46.6s<30.9s
800/800      2.53G     0.8593     0.4116     0.8095        134        256: 63% ━━━━━━━╸──── 145/230 2.8it/s 47.0s<30.0s
800/800      2.53G     0.8596     0.4117     0.8096        162        256: 63% ━━━━━━━╸──── 146/230 2.9it/s 47.3s<29.4s
800/800      2.53G     0.8596     0.4117     0.8096        162        256: 64% ━━━━━━━╸──── 147/230 3.6it/s 47.5s<22.9s
800/800      2.53G     0.8612     0.4122     0.8095        235        256: 64% ━━━━━━━╸──── 147/230 2.5it/s 47.8s<32.8s
800/800      2.53G     0.8611     0.4122     0.8094        103        256: 64% ━━━━━━━╸──── 148/230 2.6it/s 48.2s<31.2s
800/800      2.53G     0.8613     0.4123     0.8094        106        256: 65% ━━━━━━━╸──── 149/230 2.7it/s 48.5s<29.5s[ WARN:0@182048.938] global grfmt_tiff.cpp:122 TIFF_Warning TIFFReadDirectory: Unknown field with tag 34264 (0x85d8) encountered
800/800      2.53G     0.8609     0.4122     0.8095        128        256: 65% ━━━━━━━╸──── 150/230 2.9it/s 48.8s<28.0s
800/800      2.53G     0.8611     0.4122     0.8096        159        256: 66% ━━━━━━━╸──── 151/230 2.9it/s 49.2s<27.0s
800/800      2.53G     0.8616     0.4124     0.8095        191        256: 66% ━━━━━━━╸──── 152/230 3.0it/s 49.5s<26.4s
800/800      2.53G     0.8617     0.4125     0.8094        108        256: 67% ━━━━━━━╸──── 153/230 2.9it/s 49.8s<26.3s
800/800      2.53G     0.8618     0.4126     0.8095        193        256: 67% ━━━━━━━━──── 154/230 2.9it/s 50.2s<26.4s[ WARN:0@182050.528] global grfmt_tiff.cpp:122 TIFF_Warning TIFFReadDirectory: Unknown field with tag 34264 (0x85d8) encountered
800/800      2.53G     0.8619     0.4128     0.8096        125        256: 67% ━━━━━━━━──── 155/230 2.9it/s 50.5s<25.7s
800/800      2.53G     0.8613     0.4126     0.8095        170        256: 68% ━━━━━━━━──── 156/230 2.9it/s 50.9s<25.3s
800/800      2.53G     0.8617     0.4125     0.8095        194        256: 68% ━━━━━━━━──── 157/230 2.8it/s 51.3s<25.7s
800/800      2.53G     0.8608     0.4123     0.8094        151        256: 69% ━━━━━━━━──── 158/230 2.8it/s 51.6s<25.3s
800/800      2.53G     0.8606     0.4122     0.8092        179        256: 69% ━━━━━━━━──── 159/230 2.9it/s 51.9s<24.5s
800/800      2.53G     0.8619     0.4126     0.8095        117        256: 70% ━━━━━━━━──── 160/230 2.9it/s 52.3s<23.9s
800/800      2.53G     0.8623     0.4126     0.8095        160        256: 70% ━━━━━━━━──── 161/230 2.9it/s 52.6s<23.5s[ WARN:0@182053.067] global grfmt_tiff.cpp:122 TIFF_Warning TIFFReadDirectory: Unknown field with tag 34264 (0x85d8) encountered
800/800      2.53G     0.8618     0.4124     0.8094        127        256: 70% ━━━━━━━━──── 162/230 3.0it/s 52.9s<23.0s
800/800      2.53G     0.8629     0.4127     0.8094        179        256: 71% ━━━━━━━━╸─── 163/230 3.0it/s 53.3s<22.4s
800/800      2.53G     0.8632     0.4127     0.8092        190        256: 71% ━━━━━━━━╸─── 164/230 3.0it/s 53.6s<22.0s
800/800      2.53G     0.8637     0.4128     0.8089        241        256: 72% ━━━━━━━━╸─── 165/230 3.0it/s 53.9s<21.6s
800/800      2.53G     0.8628     0.4125     0.8091        144        256: 72% ━━━━━━━━╸─── 166/230 2.9it/s 54.3s<22.1s
800/800      2.53G     0.8631     0.4128     0.8091        131        256: 73% ━━━━━━━━╸─── 167/230 2.9it/s 54.6s<21.4s
800/800      2.53G     0.8628     0.4125     0.8093        155        256: 73% ━━━━━━━━╸─── 168/230 2.9it/s 55.0s<21.2s
800/800      2.53G      0.864     0.4129     0.8091        264        256: 73% ━━━━━━━━╸─── 169/230 2.9it/s 55.3s<21.0s
800/800      2.53G      0.864     0.4129     0.8092        149        256: 74% ━━━━━━━━╸─── 170/230 2.9it/s 55.7s<21.0s[ WARN:0@182055.998] global grfmt_tiff.cpp:122 TIFF_Warning TIFFReadDirectory: Unknown field with tag 34264 (0x85d8) encountered
800/800      2.53G     0.8641     0.4129     0.8093        118        256: 74% ━━━━━━━━╸─── 171/230 2.9it/s 56.0s<20.3s
800/800      2.53G     0.8651     0.4133     0.8093        150        256: 75% ━━━━━━━━╸─── 172/230 2.9it/s 56.4s<19.7s
800/800      2.53G     0.8644     0.4131     0.8092        133        256: 75% ━━━━━━━━━─── 173/230 3.0it/s 56.7s<19.3s
800/800      2.53G     0.8639     0.4129     0.8093        128        256: 76% ━━━━━━━━━─── 174/230 3.0it/s 57.0s<19.0s
800/800      2.53G     0.8642      0.413     0.8094        194        256: 76% ━━━━━━━━━─── 175/230 2.9it/s 57.4s<19.1s
800/800      2.53G     0.8647     0.4132     0.8095        120        256: 77% ━━━━━━━━━─── 176/230 2.9it/s 57.7s<18.7s
800/800      2.53G     0.8642      0.413     0.8095        101        256: 77% ━━━━━━━━━─── 177/230 3.0it/s 58.1s<17.9s
800/800      2.53G     0.8642     0.4129     0.8095        132        256: 77% ━━━━━━━━━─── 178/230 3.0it/s 58.4s<17.6s
800/800      2.53G     0.8641      0.413     0.8096        137        256: 78% ━━━━━━━━━─── 179/230 2.9it/s 58.8s<17.6s
800/800      2.53G     0.8648     0.4132     0.8096        124        256: 78% ━━━━━━━━━─── 180/230 3.0it/s 59.1s<16.9s
800/800      2.53G     0.8647     0.4133     0.8097        134        256: 79% ━━━━━━━━━─── 181/230 3.0it/s 59.4s<16.2s
800/800      2.53G     0.8648     0.4133     0.8097        148        256: 79% ━━━━━━━━━─── 182/230 3.0it/s 59.7s<16.0s
800/800      2.53G     0.8648     0.4136     0.8099        201        256: 80% ━━━━━━━━━╸── 183/230 2.9it/s 1:00<16.1s
800/800      2.53G      0.865     0.4138     0.8099        160        256: 80% ━━━━━━━━━╸── 184/230 2.9it/s 1:00<15.9s
800/800      2.53G     0.8646     0.4135     0.8098        177        256: 80% ━━━━━━━━━╸── 185/230 2.9it/s 1:01<15.6s
800/800      2.53G     0.8661     0.4138     0.8098        205        256: 81% ━━━━━━━━━╸── 186/230 2.9it/s 1:01<15.2s
800/800      2.53G     0.8664     0.4139     0.8099        167        256: 81% ━━━━━━━━━╸── 187/230 2.9it/s 1:01<14.8s
800/800      2.53G     0.8664     0.4139       0.81        166        256: 82% ━━━━━━━━━╸── 188/230 2.9it/s 1:02<14.6s
800/800      2.53G     0.8653     0.4137       0.81        113        256: 82% ━━━━━━━━━╸── 189/230 2.9it/s 1:02<14.0s
800/800      2.53G     0.8647     0.4135       0.81        126        256: 83% ━━━━━━━━━╸── 190/230 2.9it/s 1:03<13.6s
800/800      2.53G     0.8652     0.4139     0.8102        111        256: 83% ━━━━━━━━━╸── 191/230 2.9it/s 1:03<13.5s
800/800      2.53G     0.8653     0.4139     0.8101        150        256: 83% ━━━━━━━━━━── 192/230 2.8it/s 1:03<13.4s
800/800      2.53G     0.8648     0.4137     0.8102        127        256: 84% ━━━━━━━━━━── 193/230 2.9it/s 1:04<12.8s
800/800      2.53G     0.8642     0.4136     0.8103        150        256: 84% ━━━━━━━━━━── 194/230 3.0it/s 1:04<12.1s
800/800      2.53G     0.8635     0.4133     0.8102        144        256: 85% ━━━━━━━━━━── 195/230 3.0it/s 1:04<11.8s
800/800      2.53G     0.8628     0.4131     0.8105        127        256: 85% ━━━━━━━━━━── 196/230 3.0it/s 1:05<11.3s[ WARN:0@182064.872] global grfmt_tiff.cpp:122 TIFF_Warning TIFFReadDirectory: Unknown field with tag 34264 (0x85d8) encountered
800/800      2.53G     0.8631     0.4131     0.8104        195        256: 86% ━━━━━━━━━━── 197/230 3.0it/s 1:05<11.1s
800/800      2.53G     0.8635     0.4132     0.8104        149        256: 86% ━━━━━━━━━━── 198/230 3.0it/s 1:05<10.8s
800/800      2.53G     0.8643     0.4132     0.8103        233        256: 87% ━━━━━━━━━━── 199/230 2.9it/s 1:06<10.7s
800/800      2.53G     0.8653     0.4137     0.8104        217        256: 87% ━━━━━━━━━━── 200/230 2.9it/s 1:06<10.3s
800/800      2.53G     0.8645     0.4134     0.8104        118        256: 87% ━━━━━━━━━━── 201/230 2.8it/s 1:06<10.2s
800/800      2.53G     0.8647     0.4133     0.8105        207        256: 88% ━━━━━━━━━━╸─ 202/230 2.8it/s 1:07<9.8s[ WARN:0@182067.090] global grfmt_tiff.cpp:122 TIFF_Warning TIFFReadDirectory: Unknown field with tag 34264 (0x85d8) encountered
800/800      2.53G     0.8647     0.4133     0.8106        141        256: 88% ━━━━━━━━━━╸─ 203/230 2.9it/s 1:07<9.4s
800/800      2.53G     0.8644     0.4133     0.8106        115        256: 89% ━━━━━━━━━━╸─ 204/230 2.9it/s 1:07<8.9s
800/800      2.53G     0.8648     0.4135     0.8107        160        256: 89% ━━━━━━━━━━╸─ 205/230 2.9it/s 1:08<8.6s
800/800      2.53G     0.8646     0.4135     0.8106        133        256: 90% ━━━━━━━━━━╸─ 206/230 2.9it/s 1:08<8.2s
800/800      2.53G     0.8648     0.4136     0.8105        136        256: 90% ━━━━━━━━━━╸─ 207/230 2.9it/s 1:08<8.0s[ WARN:0@182068.740] global grfmt_tiff.cpp:122 TIFF_Warning TIFFReadDirectory: Unknown field with tag 34264 (0x85d8) encountered
800/800      2.53G     0.8647     0.4136     0.8105        114        256: 90% ━━━━━━━━━━╸─ 208/230 2.9it/s 1:09<7.5s
800/800      2.53G      0.865     0.4137     0.8104        222        256: 91% ━━━━━━━━━━╸─ 209/230 2.9it/s 1:09<7.2s
800/800      2.53G     0.8645     0.4136     0.8105        134        256: 91% ━━━━━━━━━━╸─ 210/230 2.8it/s 1:09<7.1s
800/800      2.53G     0.8655     0.4141     0.8105        239        256: 92% ━━━━━━━━━━━─ 211/230 2.9it/s 1:10<6.5s
800/800      2.53G     0.8659     0.4142     0.8106        193        256: 92% ━━━━━━━━━━━─ 212/230 2.9it/s 1:10<6.1s
800/800      2.53G     0.8657      0.414     0.8107        191        256: 93% ━━━━━━━━━━━─ 213/230 3.0it/s 1:10<5.6s
800/800      2.53G      0.866     0.4141     0.8106        133        256: 93% ━━━━━━━━━━━─ 214/230 3.0it/s 1:11<5.3s
800/800      2.53G     0.8661     0.4142     0.8107        142        256: 93% ━━━━━━━━━━━─ 215/230 2.9it/s 1:11<5.1s
800/800      2.53G     0.8661     0.4141     0.8108        147        256: 94% ━━━━━━━━━━━─ 216/230 2.9it/s 1:11<4.9s
800/800      2.53G     0.8659     0.4141     0.8109        144        256: 94% ━━━━━━━━━━━─ 217/230 2.9it/s 1:12<4.5s
800/800      2.53G     0.8655     0.4139      0.811        102        256: 95% ━━━━━━━━━━━─ 218/230 2.9it/s 1:12<4.1s
800/800      2.53G      0.865     0.4139     0.8112        124        256: 95% ━━━━━━━━━━━─ 219/230 2.8it/s 1:13<3.9s
800/800      2.53G     0.8649     0.4138     0.8112        170        256: 96% ━━━━━━━━━━━─ 220/230 2.9it/s 1:13<3.5s
