epoch,stage,lr_pg0,lr_pg1,lr_pg2,train_box_loss,train_cls_loss,train_dfl_loss,kd_loss,reach_match_loss,reach_rank_loss,cmdistill_pcc_levels,cmdistill_slrd_tokens,cmdistill_ibcld_candidate_ratio,cmdistill_ibcld_fg_count,cmdistill_ibcld_teacher_conf_added_count,cmdistill_ibcld_cls_loss,cmdistill_ibcld_box_loss,cmdistill_pcc_loss,cmdistill_relation_loss,cmdistill_ibcld_loss,cmdistill_total_loss,bn_running_var_max,bn_running_var_mean,bn_running_var_p95,bn_running_mean_abs_max,bn_num_layers,bn_stats_mode,bn_stats_frozen_this_epoch,nonfinite_metrics_or_cmdistill,nonfinite_bn_stats,nan_or_inf_detected,grad_norm_total,grad_norm_backbone,grad_norm_neck,grad_norm_head,base_alpha_kd,effective_alpha_kd,kd_multiplier,kd_warmup_active,ladd_kd_decay_mode,ladd_kd_decay_start_epoch,ladd_kd_decay_end_epoch,ladd_kd_final_mult,ladd_kd_stop_after_epoch,b_loss_warmup_mode,b_loss_warmup_start_epoch,b_loss_warmup_end_epoch,b_loss_warmup_final_mult,b_loss_warmup_scope,b_loss_warmup_multiplier,b_loss_warmup_active,ladd_b_a2_core,ladd_b_det_only,ladd_a2_det_only,effective_alpha_s_rec,effective_lambda_reach,effective_lambda_match_inner,effective_lambda_rank_inner
34,b,0.029875480824017656,0.009958493608005886,0.029875480824017656,1.7853,1.03804,1.00865,0.93542,0.0036,0.15349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.80230712890625,3.2889037132263184,11.020818710327148,32.24180221557617,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,1.0,1.0,1.0
35,b,0.029867831248384727,0.009955943749461576,0.029867831248384727,1.8063,1.0466,1.00811,0.93007,0.00354,0.15348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.21026611328125,3.337883234024048,11.258511543273926,32.60216522216797,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,1.0,1.0,1.0
36,b,0.02985995470558712,0.009953318235195708,0.02985995470558712,1.78804,1.03071,0.99992,0.94726,0.00346,0.15347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.9726257324219,3.3621604442596436,11.206801414489746,34.464271545410156,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,1.0,1.0,1.0
37,b,0.029851851317090877,0.00995061710569696,0.029851851317090877,1.77991,1.02897,0.99935,0.93507,0.00347,0.15347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.6393280029297,3.3971869945526123,11.399065017700195,32.347599029541016,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,1.0,1.0,1.0
38,b,0.029843521207860275,0.009947840402620091,0.029843521207860275,1.77912,1.0192,1.00093,0.92035,0.00338,0.15346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.06703186035156,3.418933391571045,11.517461776733398,35.57865524291992,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,1.0,1.0,1.0
39,b,0.029834964506355893,0.009944988168785298,0.029834964506355893,1.78339,1.01901,0.99509,0.91276,0.00345,0.15347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.0163269042969,3.441197395324707,11.529608726501465,33.041236877441406,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,1.0,1.0,1.0
40,b,0.02982618134453266,0.009942060448177553,0.02982618134453266,1.75596,1.01239,1.00243,0.92013,0.00346,0.15347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.0080871582031,3.4721992015838623,11.670613288879395,31.539432525634766,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,1.0,1.0,1.0
41,b,0.029817171857837794,0.009939057285945931,0.029817171857837794,1.76769,1.01201,0.99567,0.92002,0.00341,0.15346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.92791748046875,3.4931201934814453,11.687511444091797,31.786211013793945,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,1.0,1.0,1.0
42,b,0.02980793618520873,0.00993597872840291,0.02980793618520873,1.76901,1.00357,0.98804,0.90613,0.00343,0.15347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.1494445800781,3.5013065338134766,11.642643928527832,32.63099670410156,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,1.0,1.0,1.0
43,b,0.029798474469070958,0.009932824823023653,0.029798474469070958,1.74834,1.00034,0.98965,0.88929,0.00347,0.15347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.357177734375,3.537177085876465,11.895011901855469,30.908397674560547,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,1.0,1.0,1.0
44,b,0.02978878685533585,0.009929595618445282,0.02978878685533585,1.75063,1.00037,0.99567,0.87632,0.00344,0.15347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.5854949951172,3.566633701324463,12.048413276672363,29.67526626586914,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,1.0,1.0,1.0
45,b,0.029778873493398392,0.009926291164466132,0.029778873493398392,1.73903,0.99388,0.9922,0.88589,0.00354,0.15348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.0006103515625,3.604174852371216,12.169384002685547,31.78154182434082,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,1.0,1.0,1.0
46,b,0.029768734536134888,0.009922911512044963,0.029768734536134888,1.7476,0.99269,0.98878,0.88165,0.00342,0.15346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.3148956298828,3.6247668266296387,12.249074935913086,31.614620208740234,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,1.0,1.0,1.0
47,b,0.029758370139900608,0.009919456713300204,0.029758370139900608,1.73261,0.98413,0.98801,0.8901,0.00337,0.15346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.2439880371094,3.5929384231567383,11.813848495483398,30.97576332092285,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,1.0,1.0,1.0
48,b,0.029747780464527352,0.009915926821509118,0.029747780464527352,1.74015,0.98774,0.98855,0.85351,0.00339,0.15346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.61907958984375,3.641167163848877,12.137423515319824,30.685121536254883,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,1.0,1.0,1.0
